CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
TMAX_2M;TMAX_2M;tasmax;;;ModelLevel;1;;maximum;maximum within days time: mean over days;maximum within days time: mean over days;2;K;;a;1;;1;m;1;s;;Daily Maximum Near-Surface Air Temperature;;air_temperature;;atmos;
TMIN_2M;TMIN_2M;tasmin;;;ModelLevel;1;;minimum;minimum within days time: mean over days;minimum within days time: mean over days;2;K;;a;1;;1;m;1;s;;Daily Minimum Near-Surface Air Temperature;;air_temperature;;atmos;
T_2M;T_2M;tas;;;ModelLevel;1;point;mean;mean;mean;2;K;24;i;1;24;1;m*24;1;s*24;;Near-Surface Air Temperature;;air_temperature;;atmos;
T_S;T_S;ts;;;ModelLevel;1;point;mean;mean;mean;0;K;24;i;1;24;1;m*24;1;s*24;;Surface Temperature;;surface_temperature;;atmos;
TOT_PREC;TOT_PREC;pr;;;ModelLevel;0.000277778;mean;mean;mean;mean;0;kg m-2 s-1;24;a;1;24;1;m*24;1;s*24;;Precipitation;;precipitation_flux;;atmos;
VMAX_10M;VMAX_10M;wsgsmax;;;ModelLevel;1; maximum;maximum;maximum within days time: mean over days;maximum within days time: mean over days;10;m s-1;24;a;1;24;1;m*24;1;s*24;;Maximum Near-Surface Wind Speed of Gust;;wind_speed_of_gust;;atmos;
VABSMX_10M;VABSMX_10M;sfcWindmax;;;ModelLevel;1;;maximum;maximum within days time: mean over days;maximum within days time: mean over days;10;m s-1;;a;1;;1;m;1;s;;Daily Maximum Near-Surface Wind Speed;;wind_speed;;atmos;
U_10M;U_10M;uas;;derotate;ModelLevel;1;point;mean;mean;mean;10;m s-1;24;i;1;24;1;m*24;1;s*24;;Eastward Near-Surface Wind;;eastward_wind;;atmos;
U100z;U;ua100m;;derotate;ZLevel;1;point;mean;mean;mean;100;m s-1;24;i;1;24;1;m*24;1;s*24;;Eastward Wind at 100m;height is above ground;eastward_wind;;atmos;
U1000p;U;ua1000;;derotate;PressureLevel;1;point;mean;mean;mean;100000;m s-1;8;i;1;8;1;m*8;1;s*8;;Eastward Wind;;eastward_wind;;atmos;
U925p;U;ua925;;derotate;PressureLevel;1;point;mean;mean;mean;92500;m s-1;8;i;1;8;1;m*8;1;s*8;;Eastward Wind;;eastward_wind;;atmos;
U850p;U;ua850;;derotate;PressureLevel;1;point;mean;mean;mean;85000;m s-1;8;i;1;8;1;m*8;1;s*8;;Eastward Wind;;eastward_wind;;atmos;
U700p;U;ua700;;derotate;PressureLevel;1;point;mean;mean;mean;70000;m s-1;8;i;1;8;1;m*8;1;s*8;;Eastward Wind;;eastward_wind;;atmos;
U500p;U;ua500;;derotate;PressureLevel;1;point;mean;mean;mean;50000;m s-1;8;i;1;8;1;m*8;1;s*8;;Eastward Wind;;eastward_wind;;atmos;
U200p;U;ua200;;derotate;PressureLevel;1;point;mean;mean;mean;20000;m s-1;8;i;1;8;1;m*8;1;s*8;;Eastward Wind;;eastward_wind;;atmos;
V_10M;V_10M;vas;;derotate;ModelLevel;1;point;mean;mean;mean;10;m s-1;24;i;1;24;1;m*24;1;s*24;;Northward Near-Surface Wind;;northward_wind;;atmos;
V100z;V;va100m;;derotate;ZLevel;1;point;mean;mean;mean;100;m s-1;24;i;1;24;1;m*24;1;s*24;;Northward Wind at 100m;height is above ground;northward_wind;;atmos;
V1000p;V;va1000;;derotate;PressureLevel;1;point;mean;mean;mean;100000;m s-1;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
V925p;V;va925;;derotate;PressureLevel;1;point;mean;mean;mean;92500;m s-1;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
V850p;V;va850;;derotate;PressureLevel;1;point;mean;mean;mean;85000;m s-1;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
V700p;V;va700;;derotate;PressureLevel;1;point;mean;mean;mean;70000;m s-1;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
V500p;V;va500;;derotate;PressureLevel;1;point;mean;mean;mean;50000;m s-1;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
V200p;V;va200;;derotate;PressureLevel;1;point;mean;mean;mean;20000;m s-1;8;i;1;8;1;m*8;1;s*8;;Northward Wind;;northward_wind;;atmos;
W1000p;W;wa1000;;;PressureLevel;1;point;mean;mean;mean;100000;m s-1;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W925p;W;wa925;;;PressureLevel;1;point;mean;mean;mean;92500;m s-1;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W850p;W;wa850;;;PressureLevel;1;point;mean;mean;mean;85000;m s-1;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
